RNAseq	miRNAseq	validated_c	predicted_c	normalized_counts_RNA_vs_miRNA_normalized_counts_correlation	Eigengene_RNA_vs_miRNA_Eigengene_correlation	Eigengene_RNA_vs_miRNA_hub_1_correlation	Eigengene_RNA_vs_miRNA_normalized_counts_correlation	hub_1_RNA_vs_miRNA_normalized_counts_correlation	hub_1_RNA_vs_miRNA_Eigengene_correlation	hub_1_RNA_vs_miRNA_hub_1_correlation	Target_SYMBOL	miRNA_name
ENSMUSG00000000125	MIMAT0000154	0	0	0.82	0.48	0.49	0.88	0.91	0.41	0.46	Wnt3	mmu-miR-142a-5p
ENSMUSG00000000125	MIMAT0000158	0	0	0.79	0.42	0.4	0.81	0.86	0.53	0.54	Wnt3	mmu-miR-146a-5p
ENSMUSG00000000125	MIMAT0000165	0	0	0.59	0.42	0.4	0.79	0.86	0.53	0.54	Wnt3	mmu-miR-155-5p
ENSMUSG00000000126	MIMAT0000154	0	0	0.34	0.34	0.47	0.6	0.59	0.35	0.42	Wnt9a	mmu-miR-142a-5p
ENSMUSG00000000126	MIMAT0000158	0	0	0.61	0.86	0.74	0.75	0.81	0.85	0.66	Wnt9a	mmu-miR-146a-5p
ENSMUSG00000000126	MIMAT0000165	0	0	0.43	0.86	0.74	0.65	0.71	0.85	0.66	Wnt9a	mmu-miR-155-5p
ENSMUSG00000000134	MIMAT0000154	0	0	0.81	0.3	0.34	0.82	0.81	0.29	0.35	Tfe3	mmu-miR-142a-5p
ENSMUSG00000000134	MIMAT0000158	0	0	0.84	0.72	0.67	0.92	0.93	0.73	0.68	Tfe3	mmu-miR-146a-5p
ENSMUSG00000000134	MIMAT0000165	0	0	0.82	0.72	0.67	0.97	0.98	0.73	0.68	Tfe3	mmu-miR-155-5p
ENSMUSG00000000149	MIMAT0000154	0	0	0.68	-0.04	0.06	0.57	0.56	-0.08	0.05	Gna12	mmu-miR-142a-5p
ENSMUSG00000000149	MIMAT0000158	0	3	0.89	0.66	0.66	0.81	0.79	0.66	0.71	Gna12	mmu-miR-146a-5p
ENSMUSG00000000149	MIMAT0000165	1	1	0.96	0.66	0.66	0.95	0.91	0.66	0.71	Gna12	mmu-miR-155-5p
ENSMUSG00000000184	MIMAT0000154	0	0	0.59	0.3	0.34	0.82	0.81	0.29	0.35	Ccnd2	mmu-miR-142a-5p
ENSMUSG00000000184	MIMAT0000158	0	0	0.77	0.72	0.67	0.92	0.93	0.73	0.68	Ccnd2	mmu-miR-146a-5p
ENSMUSG00000000184	MIMAT0000165	0	0	0.74	0.72	0.67	0.97	0.98	0.73	0.68	Ccnd2	mmu-miR-155-5p
ENSMUSG00000000247	MIMAT0000154	0	0	0.24	-0.04	0.06	0.57	0.56	-0.08	0.05	Lhx2	mmu-miR-142a-5p
ENSMUSG00000000247	MIMAT0000158	0	0	0.61	0.66	0.66	0.81	0.79	0.66	0.71	Lhx2	mmu-miR-146a-5p
ENSMUSG00000000247	MIMAT0000165	0	0	0.72	0.66	0.66	0.95	0.91	0.66	0.71	Lhx2	mmu-miR-155-5p
ENSMUSG00000000275	MIMAT0000154	0	0	0.74	0.3	0.34	0.82	0.81	0.29	0.35	Trim25	mmu-miR-142a-5p
ENSMUSG00000000275	MIMAT0000158	0	3	0.55	0.72	0.67	0.92	0.93	0.73	0.68	Trim25	mmu-miR-146a-5p
ENSMUSG00000000275	MIMAT0000165	0	0	0.72	0.72	0.67	0.97	0.98	0.73	0.68	Trim25	mmu-miR-155-5p
ENSMUSG00000000290	MIMAT0000154	0	0	0.72	0.3	0.34	0.82	0.81	0.29	0.35	Itgb2	mmu-miR-142a-5p
ENSMUSG00000000290	MIMAT0000158	0	0	0.88	0.72	0.67	0.92	0.93	0.73	0.68	Itgb2	mmu-miR-146a-5p
ENSMUSG00000000290	MIMAT0000165	1	0	0.94	0.72	0.67	0.97	0.98	0.73	0.68	Itgb2	mmu-miR-155-5p
ENSMUSG00000000301	MIMAT0000154	0	0	-0.15	0.12	-0.04	-0.37	-0.38	0.08	-0.09	Pemt	mmu-miR-142a-5p
ENSMUSG00000000301	MIMAT0000158	0	0	-0.3	-0.29	-0.35	-0.49	-0.51	-0.33	-0.38	Pemt	mmu-miR-146a-5p
ENSMUSG00000000301	MIMAT0000165	0	0	-0.41	-0.29	-0.35	-0.52	-0.52	-0.33	-0.38	Pemt	mmu-miR-155-5p
ENSMUSG00000000303	MIMAT0000154	0	0	-0.59	-0.19	-0.06	-0.36	-0.29	-0.11	-0.02	Cdh1	mmu-miR-142a-5p
ENSMUSG00000000303	MIMAT0000158	0	0	-0.76	-0.21	-0.08	-0.59	-0.58	-0.27	-0.16	Cdh1	mmu-miR-146a-5p
ENSMUSG00000000303	MIMAT0000165	1	0	-0.65	-0.21	-0.08	-0.64	-0.6	-0.27	-0.16	Cdh1	mmu-miR-155-5p
ENSMUSG00000000308	MIMAT0000154	0	0	-0.36	0.12	-0.04	-0.37	-0.38	0.08	-0.09	Ckmt1	mmu-miR-142a-5p
ENSMUSG00000000308	MIMAT0000158	0	0	-0.42	-0.29	-0.35	-0.49	-0.51	-0.33	-0.38	Ckmt1	mmu-miR-146a-5p
ENSMUSG00000000308	MIMAT0000165	0	0	-0.45	-0.29	-0.35	-0.52	-0.52	-0.33	-0.38	Ckmt1	mmu-miR-155-5p
ENSMUSG00000000325	MIMAT0000154	0	0	0.46	-0.04	0.06	0.57	0.56	-0.08	0.05	NA	mmu-miR-142a-5p
ENSMUSG00000000325	MIMAT0000158	0	0	0.62	0.66	0.66	0.81	0.79	0.66	0.71	NA	mmu-miR-146a-5p
ENSMUSG00000000325	MIMAT0000165	0	7	0.72	0.66	0.66	0.95	0.91	0.66	0.71	NA	mmu-miR-155-5p
ENSMUSG00000000346	MIMAT0000154	0	0	-0.14	0.12	-0.04	-0.37	-0.38	0.08	-0.09	Dazap2	mmu-miR-142a-5p
ENSMUSG00000000346	MIMAT0000158	0	5	-0.31	-0.29	-0.35	-0.49	-0.51	-0.33	-0.38	Dazap2	mmu-miR-146a-5p
ENSMUSG00000000346	MIMAT0000165	1	1	-0.26	-0.29	-0.35	-0.52	-0.52	-0.33	-0.38	Dazap2	mmu-miR-155-5p
ENSMUSG00000000374	MIMAT0000154	0	0	0.23	0.12	0.06	0.49	0.51	0.04	0.02	Trappc10	mmu-miR-142a-5p
ENSMUSG00000000374	MIMAT0000158	0	4	0.64	0.46	0.36	0.81	0.84	0.51	0.48	Trappc10	mmu-miR-146a-5p
ENSMUSG00000000374	MIMAT0000165	1	1	0.64	0.46	0.36	0.86	0.88	0.51	0.48	Trappc10	mmu-miR-155-5p
ENSMUSG00000000378	MIMAT0000154	0	0	0.59	-0.04	0.06	0.57	0.56	-0.08	0.05	Ccm2	mmu-miR-142a-5p
ENSMUSG00000000378	MIMAT0000158	0	0	0.6	0.66	0.66	0.81	0.79	0.66	0.71	Ccm2	mmu-miR-146a-5p
ENSMUSG00000000378	MIMAT0000165	0	0	0.87	0.66	0.66	0.95	0.91	0.66	0.71	Ccm2	mmu-miR-155-5p
ENSMUSG00000000386	MIMAT0000154	0	0	0.64	0.36	0.21	0.64	0.6	0.43	0.24	Mx1	mmu-miR-142a-5p
ENSMUSG00000000386	MIMAT0000158	0	0	0.68	0.34	0.28	0.7	0.67	0.29	0.24	Mx1	mmu-miR-146a-5p
ENSMUSG00000000386	MIMAT0000165	1	0	0.79	0.34	0.28	0.75	0.67	0.29	0.24	Mx1	mmu-miR-155-5p
ENSMUSG00000000439	MIMAT0000154	0	0	-0.27	-0.09	-0.09	-0.62	-0.55	-0.03	-0.06	Mkrn2	mmu-miR-142a-5p
ENSMUSG00000000439	MIMAT0000158	0	0	-0.4	-0.64	-0.63	-0.84	-0.81	-0.61	-0.63	Mkrn2	mmu-miR-146a-5p
ENSMUSG00000000439	MIMAT0000165	1	0	-0.63	-0.64	-0.63	-0.94	-0.93	-0.61	-0.63	Mkrn2	mmu-miR-155-5p
ENSMUSG00000000441	MIMAT0000154	0	0	0.48	0.02	0.08	0.65	0.67	0.05	0.09	Raf1	mmu-miR-142a-5p
ENSMUSG00000000441	MIMAT0000158	0	0	0.56	0.72	0.7	0.8	0.83	0.7	0.69	Raf1	mmu-miR-146a-5p
ENSMUSG00000000441	MIMAT0000165	1	0	0.69	0.72	0.7	0.93	0.92	0.7	0.69	Raf1	mmu-miR-155-5p
ENSMUSG00000000489	MIMAT0000154	0	0	0.65	0.3	0.34	0.82	0.81	0.29	0.35	Pdgfb	mmu-miR-142a-5p
ENSMUSG00000000489	MIMAT0000158	0	0	0.79	0.72	0.67	0.92	0.93	0.73	0.68	Pdgfb	mmu-miR-146a-5p
ENSMUSG00000000489	MIMAT0000165	0	0	0.89	0.72	0.67	0.97	0.98	0.73	0.68	Pdgfb	mmu-miR-155-5p
ENSMUSG00000000531	MIMAT0000154	0	0	0.35	-0.04	0.06	0.57	0.56	-0.08	0.05	Tamalin	mmu-miR-142a-5p
ENSMUSG00000000531	MIMAT0000158	0	0	0.63	0.66	0.66	0.81	0.79	0.66	0.71	Tamalin	mmu-miR-146a-5p
ENSMUSG00000000531	MIMAT0000165	1	0	0.81	0.66	0.66	0.95	0.91	0.66	0.71	Tamalin	mmu-miR-155-5p
ENSMUSG00000000552	MIMAT0000154	0	0	0.47	0.12	0.06	0.49	0.51	0.04	0.02	Zfp385a	mmu-miR-142a-5p
ENSMUSG00000000552	MIMAT0000158	0	0	0.71	0.46	0.36	0.81	0.84	0.51	0.48	Zfp385a	mmu-miR-146a-5p
ENSMUSG00000000552	MIMAT0000165	1	0	0.75	0.46	0.36	0.86	0.88	0.51	0.48	Zfp385a	mmu-miR-155-5p
ENSMUSG00000000562	MIMAT0000154	0	0	0.7	0.48	0.49	0.88	0.91	0.41	0.46	Adora3	mmu-miR-142a-5p
ENSMUSG00000000562	MIMAT0000158	0	0	0.74	0.42	0.4	0.81	0.86	0.53	0.54	Adora3	mmu-miR-146a-5p
